STATE,DISTRICT,QUARTER,LEVEL
AP,Guntur,2006-01-01,4.417931034
AP,Guntur,2006-04-01,5.555977011
AP,Guntur,2006-07-01,4.678850575
AP,Guntur,2006-10-01,4.038275862
AP,Guntur,2007-01-01,5.645454545
AP,Guntur,2007-04-01,6.351022727
AP,Guntur,2007-07-01,3.455795455
AP,Guntur,2007-10-01,3.042954545
AP,Guntur,2008-01-01,4.422134831
AP,Guntur,2008-04-01,5.832696629
AP,Guntur,2008-07-01,3.296292135
AP,Guntur,2008-10-01,3.807303371
AP,Guntur,2009-01-01,5.032298851
AP,Guntur,2009-04-01,5.72862069
AP,Guntur,2009-07-01,4.016896552
AP,Guntur,2009-10-01,3.96908046
AP,Guntur,2010-01-01,3.591315789
AP,Guntur,2010-04-01,3.885
AP,Guntur,2010-07-01,2.207368421
AP,Guntur,2010-10-01,1.669473684
AP,Guntur,2011-01-01,2.631111111
AP,Guntur,2011-04-01,4.279333333
AP,Guntur,2011-07-01,3.597777778
AP,Guntur,2011-10-01,3.121333333
AP,Guntur,2012-01-01,3.7336
AP,Guntur,2012-04-01,5.5064
AP,Guntur,2012-07-01,3.95
AP,Guntur,2012-10-01,3.0674
AP,Guntur,2013-01-01,4.848350515
AP,Guntur,2013-04-01,5.126907216
AP,Guntur,2013-07-01,3.95
AP,Guntur,2013-10-01,2.077628866
AP,Guntur,2014-01-01,2.469528302
AP,Guntur,2014-04-01,4.279056604
AP,Guntur,2014-07-01,3.576698113
AP,Guntur,2014-10-01,2.627830189
AP,Guntur,2015-01-01,3.355047619
AP,Guntur,2015-04-01,4.843904762
AP,Guntur,2015-07-01,4.047809524
AP,Guntur,2015-10-01,4.440761905
AP,Guntur,2016-01-01,5.004586466
AP,Guntur,2016-04-01,6.760225564
AP,Guntur,2016-07-01,5.259398496
AP,Guntur,2016-10-01,3.796240602
AP,Guntur,2017-01-01,4.214387755
AP,Guntur,2017-04-01,5.607755102
AP,Guntur,2017-07-01,3.996428571
AP,Guntur,2017-10-01,3.958979592
AP,Guntur,2018-01-01,4.028020833
AP,Guntur,2018-04-01,7.203645833
AP,Guntur,2018-07-01,3.9384375
AP,Guntur,2018-10-01,4.5621875
AP,Krishna,1996-01-01,3.178857143
AP,Krishna,1996-04-01,5.094285714
AP,Krishna,1996-07-01,2.646
AP,Krishna,1996-10-01,2.556
AP,Krishna,1997-01-01,2.969375
AP,Krishna,1997-04-01,4.380625
AP,Krishna,1997-07-01,3.3784375
AP,Krishna,1997-10-01,3.046875
AP,Krishna,1998-01-01,3.56625
AP,Krishna,1998-04-01,5.3584375
AP,Krishna,1998-07-01,2.219375
AP,Krishna,1998-10-01,2.49875
AP,Krishna,1999-01-01,3.65
AP,Krishna,1999-04-01,5.236470588
AP,Krishna,1999-07-01,3.417058824
AP,Krishna,1999-10-01,3.549705882
AP,Krishna,2000-01-01,4.25
AP,Krishna,2000-04-01,5.874411765
AP,Krishna,2000-07-01,2.478823529
AP,Krishna,2000-10-01,3.171470588
AP,Krishna,2001-01-01,4.2575
AP,Krishna,2001-04-01,6.475625
AP,Krishna,2001-07-01,4.55875
AP,Krishna,2001-10-01,3.84
AP,Krishna,2002-01-01,4.361666667
AP,Krishna,2002-04-01,5.247333333
AP,Krishna,2002-07-01,5.221333333
AP,Krishna,2002-10-01,4.320333333
AP,Krishna,2003-01-01,5.1325
AP,Krishna,2003-04-01,7.923571429
AP,Krishna,2003-07-01,5.5225
AP,Krishna,2003-10-01,4.721071429
AP,Krishna,2004-01-01,4.433461538
AP,Krishna,2004-04-01,7.336538462
AP,Krishna,2004-07-01,3.985384615
AP,Krishna,2004-10-01,4.135384615
AP,Krishna,2005-01-01,9.330163934
AP,Krishna,2005-04-01,10.48969344
AP,Krishna,2005-07-01,5.74034918
AP,Krishna,2005-10-01,4.895245902
AP,Krishna,2006-01-01,6.6935
AP,Krishna,2006-04-01,8.072021667
AP,Krishna,2006-07-01,5.684355
AP,Krishna,2006-10-01,5.583666667
AP,Krishna,2007-01-01,6.638245614
AP,Krishna,2007-04-01,8.041075439
AP,Krishna,2007-07-01,5.534935088
AP,Krishna,2007-10-01,4.914561404
AP,Krishna,2008-01-01,6.612711864
AP,Krishna,2008-04-01,7.629683051
AP,Krishna,2008-07-01,4.562225424
AP,Krishna,2008-10-01,4.871016949
AP,Krishna,2009-01-01,6.265423729
AP,Krishna,2009-04-01,6.353898305
AP,Krishna,2009-07-01,4.031016949
AP,Krishna,2009-10-01,4.407118644
AP,Krishna,2010-01-01,5.388
AP,Krishna,2010-04-01,4.3028
AP,Krishna,2010-07-01,3.4436
AP,Krishna,2010-10-01,2.2112
AP,Krishna,2011-01-01,2.947857143
AP,Krishna,2011-04-01,4.918928571
AP,Krishna,2011-07-01,3.472142857
AP,Krishna,2011-10-01,3.2775
AP,Krishna,2012-01-01,3.805925926
AP,Krishna,2012-04-01,6.026296296
AP,Krishna,2012-07-01,3.95
AP,Krishna,2012-10-01,2.127407407
AP,Krishna,2013-01-01,4.637763158
AP,Krishna,2013-04-01,5.573421053
AP,Krishna,2013-07-01,3.95
AP,Krishna,2013-10-01,2.723684211
AP,Krishna,2014-01-01,3.061558442
AP,Krishna,2014-04-01,4.881428571
AP,Krishna,2014-07-01,3.398831169
AP,Krishna,2014-10-01,2.780519481
AP,Krishna,2015-01-01,3.558181818
AP,Krishna,2015-04-01,5.003116883
AP,Krishna,2015-07-01,3.658701299
AP,Krishna,2015-10-01,4.658441558
AP,Krishna,2016-01-01,5.16440367
AP,Krishna,2016-04-01,6.666055046
AP,Krishna,2016-07-01,4.490825688
AP,Krishna,2016-10-01,3.505137615
AP,Krishna,2017-01-01,4.755
AP,Krishna,2017-04-01,6.001486486
