STATE,DISTRICT,QUARTER,LEVEL
Andhra Pradesh,Chittoor,01-10-2015,7.434339623
Andhra Pradesh,Chittoor,01-01-2016,4.438
Andhra Pradesh,Chittoor,01-04-2016,5.910615385
Andhra Pradesh,Chittoor,01-07-2016,4.748307692
Andhra Pradesh,Chittoor,01-10-2016,5.362461538
Andhra Pradesh,Chittoor,01-01-2017,5.830612245
Andhra Pradesh,Chittoor,01-04-2017,7.898163265
Andhra Pradesh,Chittoor,01-07-2017,6.742244898
Andhra Pradesh,Chittoor,01-10-2017,4.426734694
Andhra Pradesh,Chittoor,01-01-2018,4.463404255
Andhra Pradesh,Chittoor,01-04-2018,7.17
Andhra Pradesh,Chittoor,01-07-2018,3.95
Andhra Pradesh,Chittoor,01-10-2018,6.867659574
Andhra Pradesh,East Godavari,01-01-1996,3.505769231
Andhra Pradesh,East Godavari,01-04-1996,5.378076923
Andhra Pradesh,East Godavari,01-07-1996,2.770192308
Andhra Pradesh,East Godavari,01-10-1996,2.872884615
Andhra Pradesh,East Godavari,01-01-1997,3.183076923
Andhra Pradesh,East Godavari,01-04-1997,4.896346154
Andhra Pradesh,East Godavari,01-07-1997,3.320961538
Andhra Pradesh,East Godavari,01-10-1997,3.343461538
Andhra Pradesh,East Godavari,01-01-1998,3.5558
Andhra Pradesh,East Godavari,01-04-1998,5.6408
Andhra Pradesh,East Godavari,01-07-1998,3.23
Andhra Pradesh,East Godavari,01-10-1998,3.8998
Andhra Pradesh,East Godavari,01-01-1999,4.124285714
Andhra Pradesh,East Godavari,01-04-1999,6.128163265
Andhra Pradesh,East Godavari,01-07-1999,5.231836735
Andhra Pradesh,East Godavari,01-10-1999,4.642653061
Andhra Pradesh,East Godavari,01-01-2000,5.410408163
Andhra Pradesh,East Godavari,01-04-2000,5.113877551
Andhra Pradesh,East Godavari,01-07-2000,2.165510204
Andhra Pradesh,East Godavari,01-10-2000,3.83122449
Andhra Pradesh,East Godavari,01-01-2001,3.809565217
Andhra Pradesh,East Godavari,01-04-2001,5.367826087
Andhra Pradesh,East Godavari,01-07-2001,3.856521739
Andhra Pradesh,East Godavari,01-10-2001,3.216521739
Andhra Pradesh,East Godavari,01-01-2002,3.092790698
Andhra Pradesh,East Godavari,01-04-2002,5.206046512
Andhra Pradesh,East Godavari,01-07-2002,4.343255814
Andhra Pradesh,East Godavari,01-10-2002,3.850930233
Andhra Pradesh,East Godavari,01-01-2003,4.80425
Andhra Pradesh,East Godavari,01-04-2003,6.20225
Andhra Pradesh,East Godavari,01-07-2003,4.03
Andhra Pradesh,East Godavari,01-10-2003,3.44375
Andhra Pradesh,East Godavari,01-01-2004,3.976904762
Andhra Pradesh,East Godavari,01-04-2004,5.738333333
Andhra Pradesh,East Godavari,01-07-2004,3.727619048
Andhra Pradesh,East Godavari,01-10-2004,3.36452381
Andhra Pradesh,East Godavari,01-01-2005,6.321818182
Andhra Pradesh,East Godavari,01-04-2005,7.069413636
Andhra Pradesh,East Godavari,01-07-2005,5.367595455
Andhra Pradesh,East Godavari,01-10-2005,3.825
Andhra Pradesh,East Godavari,01-01-2006,5.499253731
Andhra Pradesh,East Godavari,01-04-2006,6.353302985
Andhra Pradesh,East Godavari,01-07-2006,4.000597015
Andhra Pradesh,East Godavari,01-10-2006,4.173283582
Andhra Pradesh,East Godavari,01-01-2007,5.582539683
Andhra Pradesh,East Godavari,01-04-2007,6.49541746
Andhra Pradesh,East Godavari,01-07-2007,3.673333333
Andhra Pradesh,East Godavari,01-10-2007,3.651746032
Andhra Pradesh,East Godavari,01-01-2008,4.984761905
Andhra Pradesh,East Godavari,01-04-2008,6.326190476
Andhra Pradesh,East Godavari,01-07-2008,4.137639683
Andhra Pradesh,East Godavari,01-10-2008,4.76031746
Andhra Pradesh,East Godavari,01-01-2009,5.726349206
Andhra Pradesh,East Godavari,01-04-2009,6.034126984
Andhra Pradesh,East Godavari,01-07-2009,4.06968254
Andhra Pradesh,East Godavari,01-10-2009,3.548095238
Andhra Pradesh,East Godavari,01-01-2010,4.515135135
Andhra Pradesh,East Godavari,01-04-2010,4.965405405
Andhra Pradesh,East Godavari,01-07-2010,2.703513514
Andhra Pradesh,East Godavari,01-10-2010,2.221621622
Andhra Pradesh,East Godavari,01-01-2011,3.090263158
Andhra Pradesh,East Godavari,01-04-2011,4.536842105
Andhra Pradesh,East Godavari,01-07-2011,3.162894737
Andhra Pradesh,East Godavari,01-10-2011,3.737368421
Andhra Pradesh,East Godavari,01-01-2012,4.873
Andhra Pradesh,East Godavari,01-04-2012,6.2912
Andhra Pradesh,East Godavari,01-07-2012,3.95
Andhra Pradesh,East Godavari,01-10-2012,2.969
Andhra Pradesh,East Godavari,01-01-2013,4.107882353
Andhra Pradesh,East Godavari,01-04-2013,5.255176471
Andhra Pradesh,East Godavari,01-07-2013,3.95
Andhra Pradesh,East Godavari,01-10-2013,2.476235294
Andhra Pradesh,East Godavari,01-01-2014,3.183125
Andhra Pradesh,East Godavari,01-04-2014,4.334553571
Andhra Pradesh,East Godavari,01-07-2014,3.168303571
Andhra Pradesh,East Godavari,01-10-2014,3.076785714
Andhra Pradesh,East Godavari,01-01-2015,3.780733945
Andhra Pradesh,East Godavari,01-04-2015,4.451100917
Andhra Pradesh,East Godavari,01-07-2015,2.787981651
Andhra Pradesh,East Godavari,01-10-2015,3.32266055
Andhra Pradesh,East Godavari,01-01-2016,4.41
Andhra Pradesh,East Godavari,01-04-2016,5.861673103
Andhra Pradesh,East Godavari,01-07-2016,3.051793103
Andhra Pradesh,East Godavari,01-10-2016,3.350965517
Andhra Pradesh,East Godavari,01-01-2017,3.739134615
Andhra Pradesh,East Godavari,01-04-2017,5.825313462
Andhra Pradesh,East Godavari,01-07-2017,3.237019231
Andhra Pradesh,East Godavari,01-10-2017,2.478076923
Andhra Pradesh,East Godavari,01-01-2018,3.72814433
Andhra Pradesh,East Godavari,01-04-2018,7.130927835
Andhra Pradesh,East Godavari,01-07-2018,4.080824742
Andhra Pradesh,East Godavari,01-10-2018,3.018041237
Andhra Pradesh,Guntur,01-01-1996,3.661666667
Andhra Pradesh,Guntur,01-04-1996,4.964285714
Andhra Pradesh,Guntur,01-07-1996,3.340238095
Andhra Pradesh,Guntur,01-10-1996,2.972857143
Andhra Pradesh,Guntur,01-01-1997,3.553255814
Andhra Pradesh,Guntur,01-04-1997,4.705116279
Andhra Pradesh,Guntur,01-07-1997,4.648372093
Andhra Pradesh,Guntur,01-10-1997,2.810697674
Andhra Pradesh,Guntur,01-01-1998,3.662926829
Andhra Pradesh,Guntur,01-04-1998,5.01195122
Andhra Pradesh,Guntur,01-07-1998,3.546097561
Andhra Pradesh,Guntur,01-10-1998,3.157317073
Andhra Pradesh,Guntur,01-01-1999,3.853421053
Andhra Pradesh,Guntur,01-04-1999,5.504473684
Andhra Pradesh,Guntur,01-07-1999,4.876315789
Andhra Pradesh,Guntur,01-10-1999,3.784473684
Andhra Pradesh,Guntur,01-01-2000,4.364210526
Andhra Pradesh,Guntur,01-04-2000,4.833157895
Andhra Pradesh,Guntur,01-07-2000,2.457631579
Andhra Pradesh,Guntur,01-10-2000,3.011315789
Andhra Pradesh,Guntur,01-01-2001,3.424324324
Andhra Pradesh,Guntur,01-04-2001,4.749459459
Andhra Pradesh,Guntur,01-07-2001,3.576756757
Andhra Pradesh,Guntur,01-10-2001,2.869459459
Andhra Pradesh,Guntur,01-01-2002,3.383611111
Andhra Pradesh,Guntur,01-04-2002,5.184722222
Andhra Pradesh,Guntur,01-07-2002,4.206388889
Andhra Pradesh,Guntur,01-10-2002,4.240833333
Andhra Pradesh,Guntur,01-01-2003,5.393870968
Andhra Pradesh,Guntur,01-04-2003,6.897096774
Andhra Pradesh,Guntur,01-07-2003,4.277419355
Andhra Pradesh,Guntur,01-10-2003,3.568064516
Andhra Pradesh,Guntur,01-01-2004,4.247272727
Andhra Pradesh,Guntur,01-04-2004,5.528787879
Andhra Pradesh,Guntur,01-07-2004,4.522727273
Andhra Pradesh,Guntur,01-10-2004,3.176060606
Andhra Pradesh,Guntur,01-01-2005,5.837582418
Andhra Pradesh,Guntur,01-04-2005,7.783076923
Andhra Pradesh,Guntur,01-07-2005,4.824725275
Andhra Pradesh,Guntur,01-10-2005,3.035054945
Andhra Pradesh,Guntur,01-01-2006,4.417931034
Andhra Pradesh,Guntur,01-04-2006,5.555977011
Andhra Pradesh,Guntur,01-07-2006,4.678850575
Andhra Pradesh,Guntur,01-10-2006,4.038275862
Andhra Pradesh,Guntur,01-01-2007,5.645454545
Andhra Pradesh,Guntur,01-04-2007,6.351022727
Andhra Pradesh,Guntur,01-07-2007,3.455795455
Andhra Pradesh,Guntur,01-10-2007,3.042954545
Andhra Pradesh,Guntur,01-01-2008,4.422134831
Andhra Pradesh,Guntur,01-04-2008,5.832696629
Andhra Pradesh,Guntur,01-07-2008,3.296292135
Andhra Pradesh,Guntur,01-10-2008,3.807303371
Andhra Pradesh,Guntur,01-01-2009,5.032298851
Andhra Pradesh,Guntur,01-04-2009,5.72862069
Andhra Pradesh,Guntur,01-07-2009,4.016896552
Andhra Pradesh,Guntur,01-10-2009,3.96908046
Andhra Pradesh,Guntur,01-01-2010,3.591315789
Andhra Pradesh,Guntur,01-04-2010,3.885
Andhra Pradesh,Guntur,01-07-2010,2.207368421
Andhra Pradesh,Guntur,01-10-2010,1.669473684
Andhra Pradesh,Guntur,01-01-2011,2.631111111
Andhra Pradesh,Guntur,01-04-2011,4.279333333
Andhra Pradesh,Guntur,01-07-2011,3.597777778
Andhra Pradesh,Guntur,01-10-2011,3.121333333
Andhra Pradesh,Guntur,01-01-2012,3.7336
Andhra Pradesh,Guntur,01-04-2012,5.5064
Andhra Pradesh,Guntur,01-07-2012,3.95
Andhra Pradesh,Guntur,01-10-2012,3.0674
Andhra Pradesh,Guntur,01-01-2013,4.848350515
Andhra Pradesh,Guntur,01-04-2013,5.126907216
Andhra Pradesh,Guntur,01-07-2013,3.95
Andhra Pradesh,Guntur,01-10-2013,2.077628866
Andhra Pradesh,Guntur,01-01-2014,2.469528302
Andhra Pradesh,Guntur,01-04-2014,4.279056604
Andhra Pradesh,Guntur,01-07-2014,3.576698113
Andhra Pradesh,Guntur,01-10-2014,2.627830189
Andhra Pradesh,Guntur,01-01-2015,3.355047619
Andhra Pradesh,Guntur,01-04-2015,4.843904762
Andhra Pradesh,Guntur,01-07-2015,4.047809524
Andhra Pradesh,Guntur,01-10-2015,4.440761905
Andhra Pradesh,Guntur,01-01-2016,5.004586466
Andhra Pradesh,Guntur,01-04-2016,6.760225564
Andhra Pradesh,Guntur,01-07-2016,5.259398496
Andhra Pradesh,Guntur,01-10-2016,3.796240602
Andhra Pradesh,Guntur,01-01-2017,4.214387755
Andhra Pradesh,Guntur,01-04-2017,5.607755102
Andhra Pradesh,Guntur,01-07-2017,3.996428571
Andhra Pradesh,Guntur,01-10-2017,3.958979592
Andhra Pradesh,Guntur,01-01-2018,4.028020833
Andhra Pradesh,Guntur,01-04-2018,7.203645833
Andhra Pradesh,Guntur,01-07-2018,3.9384375
Andhra Pradesh,Guntur,01-10-2018,4.5621875
Andhra Pradesh,Krishna,01-01-1996,3.178857143
Andhra Pradesh,Krishna,01-04-1996,5.094285714
Andhra Pradesh,Krishna,01-07-1996,2.646
Andhra Pradesh,Krishna,01-10-1996,2.556
Andhra Pradesh,Krishna,01-01-1997,2.969375
Andhra Pradesh,Krishna,01-04-1997,4.380625
Andhra Pradesh,Krishna,01-07-1997,3.3784375
Andhra Pradesh,Krishna,01-10-1997,3.046875
Andhra Pradesh,Krishna,01-01-1998,3.56625
Andhra Pradesh,Krishna,01-04-1998,5.3584375
Andhra Pradesh,Krishna,01-07-1998,2.219375
Andhra Pradesh,Krishna,01-10-1998,2.49875
Andhra Pradesh,Krishna,01-01-1999,3.65
Andhra Pradesh,Krishna,01-04-1999,5.236470588
Andhra Pradesh,Krishna,01-07-1999,3.417058824
Andhra Pradesh,Krishna,01-10-1999,3.549705882
Andhra Pradesh,Krishna,01-01-2000,4.25
Andhra Pradesh,Krishna,01-04-2000,5.874411765
